ds,yhat,yhat_lower,yhat_upper
2015-01-04,455.0062237050678,391.93822158141154,520.0408878777233
2015-01-11,441.4306115724197,376.25776230111023,504.7830799130646
2015-01-18,415.6942140309212,354.0314533648117,483.7377938493524
2015-01-25,390.89180251976916,327.67645111838164,456.201934160719
2015-02-01,376.81135887481753,310.2207928722969,442.079309444867
2015-02-08,371.9476826841066,305.80036279450206,436.661908091392
2015-02-15,364.9327267707869,295.0993818330844,430.1489050696806
2015-02-22,345.2239752877749,284.80439303985037,413.76132175292395
2015-03-01,313.80512197318336,249.0638312010915,377.84323243357255
2015-03-08,283.5418166120433,217.35443225536983,351.73226273941896
2015-03-15,268.28929119603174,205.1674235343647,335.16222129706716
2015-03-22,271.06733410783016,202.4117747858609,338.0763010807066
2015-03-29,282.7542580353476,218.52016110950012,347.5956903339824
2015-04-05,292.02586407096123,221.39078489046747,354.13616565115365
2015-04-12,295.81584199767633,224.77776560280392,361.1550466959964
2015-04-19,299.6843592925575,232.0867001572805,364.28813542254295
2015-04-26,308.8658855189693,248.3798352881596,376.98657531485685
2015-05-03,320.7107830435814,254.33512197457787,386.9844242434103
2015-05-10,326.87509641285095,256.80573501765326,393.8763651921792
2015-05-17,322.1402266045841,255.40983819865963,388.2137916263256
2015-05-24,309.4665286052031,244.5907454912229,371.8266955218078
2015-05-31,295.80271033203223,231.60879681316894,359.9789487740431
2015-06-07,284.0459519814176,213.72517046224365,347.11028125472126
2015-06-14,270.62116806950036,207.41908695114319,337.97341069058285
2015-06-21,251.10109502962038,185.10175654806585,312.34202989661014
2015-06-28,226.82673217604525,160.71397236635025,294.5496861558424
2015-07-05,204.6573101370514,141.70311552133177,269.46612324877975
2015-07-12,190.2868241468113,123.66815632307289,258.26044776519944
2015-07-19,182.95522766496669,116.38092553560138,248.57417164452863
2015-07-26,177.4286309749262,109.73756907160305,244.81706130393104
2015-08-02,170.60431275950074,104.28144747179765,236.73617605746193
2015-08-09,165.07644105287696,102.00125101501867,236.27481035069712
2015-08-16,165.85860381914037,100.2840161652607,234.66899985817437
2015-08-23,174.22723859621763,111.74411129377319,236.85741721815526
2015-08-30,185.52179656581933,119.3860380617863,248.76489270108746
2015-09-06,193.18267712627315,130.02403290992604,257.1974842555617
2015-09-13,194.98886865281662,129.37172901477695,263.28452800623086
2015-09-20,195.91537321051692,135.74542280636874,260.2651359110732
2015-09-27,205.68854495441968,140.97428406127497,271.82893489013435
2015-10-04,233.2827445395376,167.42969027136616,301.89054454210543
2015-10-11,281.7013941238224,212.87489204073907,341.5295001649914
2015-10-18,345.19813022096196,279.0276885284189,413.9562661911294
2015-10-25,410.0250040742584,344.4756945018719,477.9379511656699
2015-11-01,459.1389244050551,399.39624329613133,526.4385972570059
2015-11-08,479.6796086868966,414.0258246931951,550.1025124919369
2015-11-15,469.6329619735833,403.43381328468007,536.7264061543842
2015-11-22,439.4055594878196,378.020842392369,506.67241986641994
2015-11-29,406.7500846680744,338.0487411600724,474.33260247695375
2015-12-06,387.8224818094169,323.70107110116476,453.91205663069024
2015-12-13,389.4969188920557,322.4418148020911,459.0218700900163
2015-12-20,406.847510366818,343.5636485916055,473.6210703559014
2015-12-27,426.60214257040775,366.6654146048728,490.8380404536066
2016-01-03,434.68606605868285,364.08778187166394,501.3325988251399
2016-01-10,424.2647206785815,357.7625795995801,494.83441190862175
2016-01-17,399.81721939606314,334.8572118433003,465.9406130604906
2016-01-24,373.8937946167473,305.99435201585374,444.4028054325086
2016-01-31,357.63629629253114,291.3399142492806,423.8160598452835
2016-02-07,351.77973999271495,284.7128030164875,420.21166843449106
2016-02-14,346.1197962721901,282.0964004637967,407.0152220426411
2016-02-21,329.02020815183243,269.19891667455937,393.23432950776083
2016-02-28,298.9952736693837,232.88902700986398,367.4225955680305
2016-03-06,267.3503014960202,202.1594738342487,330.45293666028266
2016-03-13,248.78664685197728,185.0151387069929,316.5696391300098
2016-03-20,248.74954634514063,186.79466911479696,316.9393060074611
2016-03-27,259.78445369806695,194.65704427493114,324.8461544625755
2016-04-03,270.02801064551466,207.0824200850981,337.3222388988324
2016-04-10,274.5510737449218,212.58021836943925,340.4999463147861
2016-04-17,277.8715018465241,210.26047298429714,340.6441001654234
2016-04-24,286.03732857142444,224.74780940242746,355.17693969262587
2016-05-01,297.9581338006166,229.27365782189713,364.07064488645
2016-05-08,305.72515723207334,237.49053704764228,364.67622180258206
2016-05-15,302.9509645338716,240.34067360935205,374.8996613670051
2016-05-22,291.18897258213485,230.0335838072395,358.1075586220698
2016-05-29,277.28867656678693,208.94914543764585,344.63374443262285
2016-06-05,265.30494361345666,200.68553415519082,328.61860386371404
2016-06-12,252.58638267671637,186.42289554453293,324.00191885313086
2016-06-19,234.27030376073992,168.7666829152023,298.57742278299077
2016-06-26,210.4333647670842,144.8742208512424,275.9206384321252
2016-07-03,187.33497082485195,125.16648769686678,254.99390029015572
2016-07-10,171.421757303954,109.23421900351929,237.42108632057239
2016-07-17,163.16782664806516,100.29906084088046,224.27143805736912
2016-07-24,157.6916421271574,94.75240947284865,221.15466026849796
2016-07-31,151.0669372781288,83.61881747235066,214.01144952911625
2016-08-07,144.92524014271987,78.31878619023409,214.12239473669797
2016-08-14,144.312681478072,79.55067088120829,207.75357141554522
2016-08-21,151.51920518475654,84.94379362446615,215.59497235609706
2016-08-28,162.8037781620859,91.86932219480641,222.61434247648063
2016-09-04,171.4695254721625,106.31101465638707,233.25455862345993
2016-09-11,174.15938127701241,110.69887543393038,241.96313941843357
2016-09-18,174.60192482131404,113.59192228670383,241.42386091543915
2016-09-25,182.03750464328476,113.37759201888939,252.56284921750623
2016-10-02,206.00281431486937,146.52325073314074,272.1592965366139
2016-10-09,250.85947846324598,186.56771239121449,314.6744538406541
2016-10-16,312.47784759154183,248.46007059342546,377.6834706050241
2016-10-23,378.30833469878695,308.4643186409363,444.0416486441283
2016-10-30,431.3934744777796,366.79853105721884,492.29986329840557
2016-11-06,457.5528823974514,390.9137801921728,522.18113119068
